case_id,location_code,cluster_number,block_number,SRQ,date,form_id,username,Contact,Participation,Return,Residency_Requirement,Fecha_de_nacimiento,Sex,Number_in_Family,Prior_Product_Use,Current_Product_Use,Mosquitero_Use,Recommend_to_others,Problems_with_Repellents,type_of_problem,Otra_Respuesta_Problems_with_Repellents,Pay_for_Repellents,Mosquito_Density,Mosquito_Bite_Rate,Tablet_Use,SRQ1
02d7fe9b-f104-4b07-a37c-64db06cee2b4,PU211A,4.1,442,sr1,2017-05-02,40068e8c-2ed0-4aeb-8b33-076b192c9eaf,madison,yes,yes,NA,yes,1998-11-04,female,3,yes,less,less,yes,never,NA,NA,yes,less,same,easy,sr1
b2336b44-ec62-48f7-ae1e-09f158eff9a1,PU211B,4.1,442,sr3,2019-01-22,3de54173-b9c8-4e30-8b65-117cd524b367,rosana,yes,yes,NA,yes,1978-03-26,female,NA,never,NA,never,yes,never,NA,NA,no,less,less,easy,sr3
b2336b44-ec62-48f7-ae1e-09f158eff9a1,PU211B,4.1,442,sr2,2018-05-25,0ae7979a-905d-4129-8402-41eb7430f13d,iquitos_nn,yes,yes,NA,yes,1994-02-10,female,1,yes,less,equal,yes,yes,rash,NA,yes,less,less,easy,sr2
b2336b44-ec62-48f7-ae1e-09f158eff9a1,PU211B,4.1,442,sr1,2017-05-02,49bc51fb-0e46-40ed-a881-5375a4f96ae2,madison,yes,yes,NA,yes,1979-07-11,male,14,yes,less,less,yes,never,NA,NA,yes,less,less,difficult,sr1
3ee7a56e-e919-43e3-8985-dbe4d2b872aa,PU175A,4.1,442,sr3,2019-01-22,a3b6336b-c244-487e-93b3-703de5900ad3,rosana,yes,yes,NA,yes,1985-12-01,female,NA,never,NA,equal,yes,never,NA,NA,no,less,less,easy,sr3
3ee7a56e-e919-43e3-8985-dbe4d2b872aa,PU175A,4.1,442,sr2,2018-06-22,916247bb-f9c3-4c8b-a537-2dfc3c870a93,iquitos_nn,yes,yes,NA,yes,1985-12-01,female,1,never,NA,equal,yes,never,NA,NA,no,same,same,easy,sr2
3ee7a56e-e919-43e3-8985-dbe4d2b872aa,PU175A,4.1,442,sr1,2017-04-27,3e4dc155-ca70-48b2-a68a-fb00d3cb6dc5,madison,yes,yes,NA,yes,1985-02-01,female,2,never,NA,equal,yes,never,NA,NA,no,less,less,ok,sr1
6061f835-13f1-429c-8707-e3b727483e5d,PU176,4.1,442,sr3,2019-01-22,2e241416-37ae-48ef-8490-3a900a077bf0,rosana,yes,yes,NA,yes,1980-08-25,female,NA,yes,less,never,yes,never,NA,NA,no,same,same,easy,sr3
6061f835-13f1-429c-8707-e3b727483e5d,PU176,4.1,442,sr1,2017-05-02,f9274a6c-bbe8-400a-a834-d9befbb5cbcc,madison,yes,yes,NA,yes,1974-04-22,male,1,yes,equal,equal,yes,yes,other,NA,no,less,same,easy,sr1
3c37360a-2cab-4f72-9e97-664fcafbb359,PU177,4.1,442,NA,2019-01-22,d0abde37-6348-48a6-b586-df75176c71b7,rosana,yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sr3
